report_id,student_id,incident_date,location,incident_type,severity,status,narrative
CS000205,S004481,2025-02-08,Stadium,Weapons Policy Violation,Low,Closed,Reporting officer responded to Stadium regarding a weapons policy violation involving the listed student.
CS000206,S003254,2025-02-08,Engineering Annex,Weapons Policy Violation,Medium,Open,Campus Safety was dispatched to Engineering Annex after a report of weapons policy violation.
CS000207,S000689,2025-02-08,Bike Path,Trespassing,Low,Closed,Student was involved in a trespassing reported near Bike Path.
CS000208,S007491,2025-02-09,West Parking Garage,Weapons Policy Violation,Low,Open,Reporting officer responded to West Parking Garage regarding a weapons policy violation involving the listed student.
CS000209,S002069,2025-02-10,Lakeside Terrace,Noise Complaint,Low,Closed,Student was involved in a noise complaint reported near Lakeside Terrace.
CS000210,S009105,2025-02-11,Fine Arts Center,Harassment,Low,Under Investigation,Student was involved in a harassment reported near Fine Arts Center.
CS000211,S006316,2025-02-13,Summit House,Noise Complaint,Low,Open,Campus Safety was dispatched to Summit House after a report of noise complaint.
CS000212,S006318,2025-02-14,Lakeside Terrace,Trespassing,Medium,Closed,Student was involved in a trespassing reported near Lakeside Terrace.
CS000213,S002043,2025-02-14,Maple Ridge Hall,Physical Altercation,Low,Closed,Incident occurred at Maple Ridge Hall. Responding staff documented a physical altercation.
CS000214,S003209,2025-02-15,Science Building,Trespassing,Low,Referred to Conduct Board,Student was involved in a trespassing reported near Science Building.
CS000215,S001092,2025-02-15,Bike Path,Trespassing,Medium,Closed,Campus Safety was dispatched to Bike Path after a report of trespassing.
CS000216,S005875,2025-02-16,Student Union,Theft,Low,Open,Campus Safety was dispatched to Student Union after a report of theft.
CS000217,S002943,2025-02-16,Summit House,Harassment,Low,Closed,A harassment was observed and documented at Summit House.
CS000218,S007906,2025-02-18,Off-Campus Housing,Noise Complaint,High,Open,Student was involved in a noise complaint reported near Off-Campus Housing.
CS000219,S009583,2025-02-20,West Parking Garage,Drug Policy Violation,High,Closed,Campus Safety was dispatched to West Parking Garage after a report of drug policy violation.
CS000220,S005269,2025-02-21,Stadium,Physical Altercation,Low,Closed,Campus Safety was dispatched to Stadium after a report of physical altercation.
CS000221,S003159,2025-02-22,Science Building,Fire Alarm Activation,Low,Closed,Incident occurred at Science Building. Responding staff documented a fire alarm activation.
CS000222,S002014,2025-02-23,Summit House,Medical Emergency,Critical,Under Investigation,Campus Safety was dispatched to Summit House after a report of medical emergency.
CS000223,S005260,2025-02-28,Science Building,Theft,Low,Open,Campus Safety was dispatched to Science Building after a report of theft.
CS000224,S007028,2025-02-28,Aspen Court,Trespassing,Low,Closed,Reporting officer responded to Aspen Court regarding a trespassing involving the listed student.
CS000225,S007029,2025-03-02,Aspen Court,Physical Altercation,Medium,Closed,A physical altercation was observed and documented at Aspen Court.
CS000226,S006093,2025-03-06,Bike Path,Noise Complaint,Low,Open,Student was involved in a noise complaint reported near Bike Path.
CS000227,S009805,2025-03-07,Science Building,Medical Emergency,High,Referred to Conduct Board,Student was involved in a medical emergency reported near Science Building.
CS000228,S000458,2025-03-08,Maple Ridge Hall,Noise Complaint,Low,Closed,Student was involved in a noise complaint reported near Maple Ridge Hall.
CS000229,S006921,2025-03-08,Sunrise Commons,Suspicious Activity,Medium,Closed,Reporting officer responded to Sunrise Commons regarding a suspicious activity involving the listed student.
CS000230,S006169,2025-03-08,Aspen Court,Fire Alarm Activation,Low,Closed,Student was involved in a fire alarm activation reported near Aspen Court.
CS000231,S009057,2025-03-09,Fine Arts Center,Alcohol Policy Violation,Medium,Closed,Campus Safety was dispatched to Fine Arts Center after a report of alcohol policy violation.
CS000232,S006446,2025-03-09,Founders Hall,Alcohol Policy Violation,Low,Closed,Campus Safety was dispatched to Founders Hall after a report of alcohol policy violation.
CS000233,S007472,2025-03-10,Harborview Hall,Alcohol Policy Violation,Medium,Under Investigation,Campus Safety was dispatched to Harborview Hall after a report of alcohol policy violation.
CS000234,S000964,2025-03-10,Summit House,Weapons Policy Violation,Low,Closed,Campus Safety was dispatched to Summit House after a report of weapons policy violation.
CS000235,S005508,2025-03-12,East Lot,Noise Complaint,Low,Closed,Reporting officer responded to East Lot regarding a noise complaint involving the listed student.
CS000236,S007440,2025-03-15,Recreation Center,Trespassing,Medium,Closed,Incident occurred at Recreation Center. Responding staff documented a trespassing.
CS000237,S002596,2025-03-15,Student Union,Trespassing,High,Closed,Reporting officer responded to Student Union regarding a trespassing involving the listed student.
CS000238,S002711,2025-03-17,Science Building,Fire Alarm Activation,Medium,Under Investigation,Reporting officer responded to Science Building regarding a fire alarm activation involving the listed student.
CS000239,S007125,2025-03-17,Fine Arts Center,Trespassing,Medium,Closed,Reporting officer responded to Fine Arts Center regarding a trespassing involving the listed student.
CS000240,S009540,2025-03-17,Summit House,Physical Altercation,Critical,Closed,A physical altercation was observed and documented at Summit House.
CS000241,S008353,2025-03-17,Fine Arts Center,Alcohol Policy Violation,Low,Closed,A alcohol policy violation was observed and documented at Fine Arts Center.
CS000242,S000641,2025-03-21,Fine Arts Center,Physical Altercation,Medium,Under Investigation,Campus Safety was dispatched to Fine Arts Center after a report of physical altercation.
CS000243,S004230,2025-03-21,Willow Creek Hall,Vandalism,High,Referred to Conduct Board,A vandalism was observed and documented at Willow Creek Hall.
CS000244,S000810,2025-03-22,Meadowbrook Hall,Medical Emergency,Low,Referred to Conduct Board,A medical emergency was observed and documented at Meadowbrook Hall.
CS000245,S001778,2025-03-22,Highland Hall,Physical Altercation,Low,Closed,Campus Safety was dispatched to Highland Hall after a report of physical altercation.
CS000246,S006813,2025-03-22,Stadium,Suspicious Activity,Low,Closed,Student was involved in a suspicious activity reported near Stadium.
CS000247,S009681,2025-03-23,Student Union,Theft,Low,Closed,Campus Safety was dispatched to Student Union after a report of theft.
CS000248,S002291,2025-03-23,Lakeside Terrace,Suspicious Activity,High,Closed,Incident occurred at Lakeside Terrace. Responding staff documented a suspicious activity.
CS000249,S009471,2025-03-24,Willow Creek Hall,Theft,High,Closed,Campus Safety was dispatched to Willow Creek Hall after a report of theft.
CS000250,S009805,2025-03-26,Science Building,Trespassing,Low,Under Investigation,Incident occurred at Science Building. Responding staff documented a trespassing.
CS000251,S002550,2025-03-26,Highland Hall,Fire Alarm Activation,Low,Open,Reporting officer responded to Highland Hall regarding a fire alarm activation involving the listed student.
CS000252,S009063,2025-03-26,Northgate Hall,Drug Policy Violation,High,Under Investigation,Campus Safety was dispatched to Northgate Hall after a report of drug policy violation.
CS000253,S001866,2025-03-28,Maple Ridge Hall,Physical Altercation,High,Closed,Student was involved in a physical altercation reported near Maple Ridge Hall.
CS000254,S009467,2025-03-28,Library,Physical Altercation,Low,Closed,Student was involved in a physical altercation reported near Library.
CS000255,S004023,2025-03-28,East Lot,Harassment,High,Closed,Incident occurred at East Lot. Responding staff documented a harassment.
CS000256,S000281,2025-03-29,Harborview Hall,Drug Policy Violation,Low,Referred to Conduct Board,Student was involved in a drug policy violation reported near Harborview Hall.
CS000257,S008876,2025-03-29,Northgate Hall,Vandalism,High,Open,Incident occurred at Northgate Hall. Responding staff documented a vandalism.
CS000258,S004165,2025-03-29,Highland Hall,Fire Alarm Activation,Critical,Closed,Student was involved in a fire alarm activation reported near Highland Hall.
CS000259,S006402,2025-03-31,Riverbend Hall,Noise Complaint,Low,Closed,A noise complaint was observed and documented at Riverbend Hall.
CS000260,S009426,2025-03-31,Bike Path,Suspicious Activity,Low,Open,Student was involved in a suspicious activity reported near Bike Path.
CS000261,S004612,2025-04-01,Summit House,Weapons Policy Violation,Low,Closed,A weapons policy violation was observed and documented at Summit House.
CS000262,S008367,2025-04-02,Riverbend Hall,Drug Policy Violation,Medium,Referred to Conduct Board,Incident occurred at Riverbend Hall. Responding staff documented a drug policy violation.
CS000263,S003973,2025-04-02,Maple Ridge Hall,Physical Altercation,Critical,Closed,A physical altercation was observed and documented at Maple Ridge Hall.
CS000264,S007003,2025-04-02,Maple Ridge Hall,Drug Policy Violation,Low,Closed,A drug policy violation was observed and documented at Maple Ridge Hall.
CS000265,S002561,2025-04-03,Fine Arts Center,Fire Alarm Activation,Medium,Under Investigation,Student was involved in a fire alarm activation reported near Fine Arts Center.
CS000266,S001197,2025-04-05,Birchwood Hall,Physical Altercation,Critical,Closed,A physical altercation was observed and documented at Birchwood Hall.
CS000267,S006318,2025-04-05,East Lot,Medical Emergency,High,Open,Campus Safety was dispatched to East Lot after a report of medical emergency.
CS000268,S001486,2025-04-05,Sunrise Commons,Drug Policy Violation,High,Closed,Reporting officer responded to Sunrise Commons regarding a drug policy violation involving the listed student.
CS000269,S007520,2025-04-08,Maple Ridge Hall,Weapons Policy Violation,Low,Closed,Incident occurred at Maple Ridge Hall. Responding staff documented a weapons policy violation.
CS000270,S006228,2025-04-10,Riverbend Hall,Vandalism,Medium,Closed,Campus Safety was dispatched to Riverbend Hall after a report of vandalism.
CS000271,S003912,2025-04-10,Main Quad,Drug Policy Violation,Low,Referred to Conduct Board,A drug policy violation was observed and documented at Main Quad.
CS000272,S001421,2025-04-11,Summit House,Fire Alarm Activation,Low,Referred to Conduct Board,Incident occurred at Summit House. Responding staff documented a fire alarm activation.
CS000273,S001412,2025-04-11,Student Union,Medical Emergency,Medium,Closed,Reporting officer responded to Student Union regarding a medical emergency involving the listed student.
CS000274,S004395,2025-04-12,Recreation Center,Disorderly Conduct,Low,Closed,Campus Safety was dispatched to Recreation Center after a report of disorderly conduct.
CS000275,S002119,2025-04-13,Northgate Hall,Disorderly Conduct,Medium,Closed,Reporting officer responded to Northgate Hall regarding a disorderly conduct involving the listed student.
CS000276,S002904,2025-04-13,Main Quad,Disorderly Conduct,Medium,Closed,Incident occurred at Main Quad. Responding staff documented a disorderly conduct.
CS000277,S004470,2025-04-15,Meadowbrook Hall,Disorderly Conduct,Low,Open,Student was involved in a disorderly conduct reported near Meadowbrook Hall.
CS000278,S000034,2025-04-15,Bellview Hall,Drug Policy Violation,Medium,Closed,Student was involved in a drug policy violation reported near Bellview Hall.
CS000279,S007811,2025-04-17,Riverbend Hall,Trespassing,Low,Under Investigation,Student was involved in a trespassing reported near Riverbend Hall.
CS000280,S008660,2025-04-18,Highland Hall,Vandalism,Medium,Open,Student was involved in a vandalism reported near Highland Hall.
CS000281,S009805,2025-04-18,Birchwood Hall,Harassment,High,Closed,Student was involved in a harassment reported near Birchwood Hall.
CS000282,S005824,2025-04-19,Summit House,Theft,Medium,Closed,A theft was observed and documented at Summit House.
CS000283,S006197,2025-04-19,Northgate Hall,Medical Emergency,Low,Closed,A medical emergency was observed and documented at Northgate Hall.
CS000284,S001659,2025-04-23,Birchwood Hall,Physical Altercation,Low,Closed,Incident occurred at Birchwood Hall. Responding staff documented a physical altercation.
CS000285,S007865,2025-04-23,Stadium,Vandalism,Medium,Closed,A vandalism was observed and documented at Stadium.
CS000286,S005509,2025-04-24,Bellview Hall,Alcohol Policy Violation,Low,Closed,Student was involved in a alcohol policy violation reported near Bellview Hall.
CS000287,S003850,2025-04-26,Birchwood Hall,Medical Emergency,High,Closed,Student was involved in a medical emergency reported near Birchwood Hall.
CS000288,S006503,2025-04-26,Meadowbrook Hall,Medical Emergency,Low,Closed,A medical emergency was observed and documented at Meadowbrook Hall.
CS000289,S004844,2025-04-27,Summit House,Drug Policy Violation,Low,Closed,Incident occurred at Summit House. Responding staff documented a drug policy violation.
CS000290,S000584,2025-04-27,Meadowbrook Hall,Harassment,High,Referred to Conduct Board,Incident occurred at Meadowbrook Hall. Responding staff documented a harassment.
CS000291,S006318,2025-04-28,West Parking Garage,Medical Emergency,Medium,Closed,Reporting officer responded to West Parking Garage regarding a medical emergency involving the listed student.
CS000292,S000493,2025-04-29,Birchwood Hall,Physical Altercation,Medium,Under Investigation,Incident occurred at Birchwood Hall. Responding staff documented a physical altercation.
CS000293,S008461,2025-04-30,Library,Trespassing,Low,Referred to Conduct Board,Reporting officer responded to Library regarding a trespassing involving the listed student.
CS000294,S003530,2025-05-01,Off-Campus Housing,Drug Policy Violation,Low,Closed,Reporting officer responded to Off-Campus Housing regarding a drug policy violation involving the listed student.
CS000295,S001956,2025-05-02,Off-Campus Housing,Vandalism,Low,Referred to Conduct Board,Student was involved in a vandalism reported near Off-Campus Housing.
CS000296,S004479,2025-05-02,Bike Path,Noise Complaint,Medium,Under Investigation,Campus Safety was dispatched to Bike Path after a report of noise complaint.
CS000297,S002660,2025-05-03,Off-Campus Housing,Theft,Critical,Closed,Student was involved in a theft reported near Off-Campus Housing.
CS000298,S004951,2025-05-04,Northgate Hall,Drug Policy Violation,Low,Closed,A drug policy violation was observed and documented at Northgate Hall.
CS000299,S000888,2025-05-04,Library,Disorderly Conduct,Medium,Closed,A disorderly conduct was observed and documented at Library.
CS000300,S008973,2025-05-04,Meadowbrook Hall,Theft,Medium,Under Investigation,A theft was observed and documented at Meadowbrook Hall.
CS000301,S008782,2025-05-05,Founders Hall,Noise Complaint,Critical,Closed,Incident occurred at Founders Hall. Responding staff documented a noise complaint.
CS000302,S000758,2025-05-05,Summit House,Weapons Policy Violation,Medium,Closed,Student was involved in a weapons policy violation reported near Summit House.
CS000303,S001723,2025-05-06,Maple Ridge Hall,Harassment,Low,Closed,Student was involved in a harassment reported near Maple Ridge Hall.
CS000304,S000788,2025-05-06,Recreation Center,Physical Altercation,Medium,Closed,Student was involved in a physical altercation reported near Recreation Center.
CS000305,S004006,2025-05-06,Library,Alcohol Policy Violation,Medium,Under Investigation,A alcohol policy violation was observed and documented at Library.
CS000306,S006337,2025-05-07,Birchwood Hall,Medical Emergency,Low,Closed,Incident occurred at Birchwood Hall. Responding staff documented a medical emergency.
CS000307,S000371,2025-05-07,Northgate Hall,Disorderly Conduct,Medium,Closed,A disorderly conduct was observed and documented at Northgate Hall.
CS000308,S009706,2025-05-08,Bellview Hall,Harassment,Low,Open,Incident occurred at Bellview Hall. Responding staff documented a harassment.
CS000309,S005824,2025-05-09,Student Union,Harassment,Low,Closed,Student was involved in a harassment reported near Student Union.
CS000310,S005495,2025-05-09,Science Building,Physical Altercation,Medium,Closed,Campus Safety was dispatched to Science Building after a report of physical altercation.
CS000311,S008483,2025-05-12,Founders Hall,Alcohol Policy Violation,High,Referred to Conduct Board,Reporting officer responded to Founders Hall regarding a alcohol policy violation involving the listed student.
CS000312,S005105,2025-05-13,Riverbend Hall,Harassment,Low,Under Investigation,Student was involved in a harassment reported near Riverbend Hall.
CS000313,S002417,2025-05-15,Harborview Hall,Disorderly Conduct,Low,Closed,Reporting officer responded to Harborview Hall regarding a disorderly conduct involving the listed student.
CS000314,S005638,2025-05-15,Engineering Annex,Medical Emergency,Low,Closed,Reporting officer responded to Engineering Annex regarding a medical emergency involving the listed student.
CS000315,S004686,2025-05-16,Riverbend Hall,Trespassing,Low,Closed,Student was involved in a trespassing reported near Riverbend Hall.
CS000316,S007211,2025-05-17,Harborview Hall,Fire Alarm Activation,Low,Referred to Conduct Board,A fire alarm activation was observed and documented at Harborview Hall.
CS000317,S005548,2025-05-17,Student Union,Disorderly Conduct,Low,Referred to Conduct Board,A disorderly conduct was observed and documented at Student Union.
CS000318,S004714,2025-05-18,Lakeside Terrace,Weapons Policy Violation,Low,Closed,A weapons policy violation was observed and documented at Lakeside Terrace.
CS000319,S002363,2025-05-19,Summit House,Disorderly Conduct,High,Closed,Reporting officer responded to Summit House regarding a disorderly conduct involving the listed student.
CS000320,S005700,2025-05-20,Maple Ridge Hall,Drug Policy Violation,Low,Closed,Student was involved in a drug policy violation reported near Maple Ridge Hall.
CS000321,S005591,2025-05-20,Fine Arts Center,Theft,High,Closed,Student was involved in a theft reported near Fine Arts Center.
CS000322,S008812,2025-05-21,Student Union,Noise Complaint,Medium,Closed,Incident occurred at Student Union. Responding staff documented a noise complaint.
CS000323,S005392,2025-05-21,Birchwood Hall,Alcohol Policy Violation,Low,Open,Reporting officer responded to Birchwood Hall regarding a alcohol policy violation involving the listed student.
CS000324,S004903,2025-05-22,Northgate Hall,Physical Altercation,Medium,Closed,Incident occurred at Northgate Hall. Responding staff documented a physical altercation.
CS000325,S006284,2025-05-22,Summit House,Theft,Low,Under Investigation,A theft was observed and documented at Summit House.
CS000326,S003981,2025-05-25,Sunrise Commons,Noise Complaint,Low,Closed,Campus Safety was dispatched to Sunrise Commons after a report of noise complaint.
CS000327,S008780,2025-05-27,East Lot,Suspicious Activity,Low,Closed,Incident occurred at East Lot. Responding staff documented a suspicious activity.
CS000328,S001815,2025-05-29,Highland Hall,Suspicious Activity,Critical,Closed,Campus Safety was dispatched to Highland Hall after a report of suspicious activity.
CS000329,S007860,2025-05-30,Main Quad,Alcohol Policy Violation,Medium,Closed,A alcohol policy violation was observed and documented at Main Quad.
CS000330,S003828,2025-05-31,Aspen Court,Noise Complaint,Medium,Referred to Conduct Board,Student was involved in a noise complaint reported near Aspen Court.
CS000331,S006599,2025-06-02,West Parking Garage,Drug Policy Violation,Medium,Under Investigation,Reporting officer responded to West Parking Garage regarding a drug policy violation involving the listed student.
CS000332,S005596,2025-06-02,Science Building,Trespassing,Low,Referred to Conduct Board,Reporting officer responded to Science Building regarding a trespassing involving the listed student.
CS000333,S006364,2025-06-03,Science Building,Vandalism,Low,Open,Incident occurred at Science Building. Responding staff documented a vandalism.
CS000334,S005266,2025-06-03,Founders Hall,Disorderly Conduct,Medium,Closed,Reporting officer responded to Founders Hall regarding a disorderly conduct involving the listed student.
CS000335,S001980,2025-06-03,Cedar Crest Hall,Medical Emergency,Low,Open,Reporting officer responded to Cedar Crest Hall regarding a medical emergency involving the listed student.
CS000336,S002093,2025-06-03,Fine Arts Center,Theft,Medium,Referred to Conduct Board,Incident occurred at Fine Arts Center. Responding staff documented a theft.
CS000337,S007271,2025-06-03,Northgate Hall,Alcohol Policy Violation,Low,Open,Student was involved in a alcohol policy violation reported near Northgate Hall.
CS000338,S007673,2025-06-05,Recreation Center,Harassment,Medium,Closed,Campus Safety was dispatched to Recreation Center after a report of harassment.
CS000339,S007403,2025-06-07,Engineering Annex,Fire Alarm Activation,Medium,Under Investigation,Incident occurred at Engineering Annex. Responding staff documented a fire alarm activation.
CS000340,S001714,2025-06-08,Founders Hall,Alcohol Policy Violation,Low,Open,Campus Safety was dispatched to Founders Hall after a report of alcohol policy violation.
CS000341,S004894,2025-06-10,Bike Path,Harassment,High,Closed,Student was involved in a harassment reported near Bike Path.
CS000342,S000207,2025-06-10,Meadowbrook Hall,Alcohol Policy Violation,Low,Under Investigation,Incident occurred at Meadowbrook Hall. Responding staff documented a alcohol policy violation.
CS000343,S002749,2025-06-10,Bellview Hall,Weapons Policy Violation,Medium,Open,Campus Safety was dispatched to Bellview Hall after a report of weapons policy violation.
CS000344,S005995,2025-06-11,Bike Path,Suspicious Activity,Medium,Under Investigation,Student was involved in a suspicious activity reported near Bike Path.
CS000345,S004966,2025-06-11,Fine Arts Center,Theft,Critical,Closed,A theft was observed and documented at Fine Arts Center.
CS000346,S005753,2025-06-12,Fine Arts Center,Vandalism,Low,Closed,Incident occurred at Fine Arts Center. Responding staff documented a vandalism.
CS000347,S005087,2025-06-14,Northgate Hall,Theft,Low,Closed,Reporting officer responded to Northgate Hall regarding a theft involving the listed student.
CS000348,S004572,2025-06-16,Harborview Hall,Harassment,Low,Under Investigation,Student was involved in a harassment reported near Harborview Hall.
CS000349,S003352,2025-06-16,Meadowbrook Hall,Theft,Medium,Closed,A theft was observed and documented at Meadowbrook Hall.
CS000350,S003688,2025-06-16,Recreation Center,Disorderly Conduct,Medium,Under Investigation,Campus Safety was dispatched to Recreation Center after a report of disorderly conduct.
CS000351,S000715,2025-06-17,Library,Fire Alarm Activation,Medium,Under Investigation,Reporting officer responded to Library regarding a fire alarm activation involving the listed student.
CS000352,S008561,2025-06-18,Meadowbrook Hall,Theft,High,Closed,Reporting officer responded to Meadowbrook Hall regarding a theft involving the listed student.
CS000353,S002595,2025-06-18,Riverbend Hall,Trespassing,Medium,Closed,Reporting officer responded to Riverbend Hall regarding a trespassing involving the listed student.
CS000354,S001889,2025-06-21,Highland Hall,Vandalism,Low,Closed,A vandalism was observed and documented at Highland Hall.
CS000355,S004849,2025-06-21,Cedar Crest Hall,Weapons Policy Violation,Low,Closed,A weapons policy violation was observed and documented at Cedar Crest Hall.
CS000356,S004860,2025-06-21,West Parking Garage,Physical Altercation,High,Under Investigation,Incident occurred at West Parking Garage. Responding staff documented a physical altercation.
CS000357,S003467,2025-06-22,Cedar Crest Hall,Alcohol Policy Violation,Medium,Open,Reporting officer responded to Cedar Crest Hall regarding a alcohol policy violation involving the listed student.
CS000358,S006506,2025-06-24,Fine Arts Center,Alcohol Policy Violation,Medium,Closed,Reporting officer responded to Fine Arts Center regarding a alcohol policy violation involving the listed student.
CS000359,S007825,2025-06-26,Recreation Center,Medical Emergency,Low,Open,A medical emergency was observed and documented at Recreation Center.
CS000360,S004407,2025-06-28,Willow Creek Hall,Alcohol Policy Violation,Low,Closed,Reporting officer responded to Willow Creek Hall regarding a alcohol policy violation involving the listed student.
CS000361,S006114,2025-06-30,Stadium,Disorderly Conduct,High,Closed,Incident occurred at Stadium. Responding staff documented a disorderly conduct.
CS000362,S000317,2025-06-30,Highland Hall,Noise Complaint,Medium,Closed,Student was involved in a noise complaint reported near Highland Hall.
CS000363,S006629,2025-07-03,Birchwood Hall,Physical Altercation,High,Closed,A physical altercation was observed and documented at Birchwood Hall.
CS000364,S006625,2025-07-03,Science Building,Trespassing,Critical,Referred to Conduct Board,Student was involved in a trespassing reported near Science Building.
CS000365,S006157,2025-07-06,Northgate Hall,Physical Altercation,High,Closed,Student was involved in a physical altercation reported near Northgate Hall.
CS000366,S003495,2025-07-07,Harborview Hall,Theft,Low,Closed,Student was involved in a theft reported near Harborview Hall.
CS000367,S001658,2025-07-08,Summit House,Suspicious Activity,Low,Closed,Incident occurred at Summit House. Responding staff documented a suspicious activity.
CS000368,S005638,2025-07-10,East Lot,Harassment,Medium,Referred to Conduct Board,A harassment was observed and documented at East Lot.
CS000369,S006931,2025-07-11,Fine Arts Center,Physical Altercation,Medium,Under Investigation,Campus Safety was dispatched to Fine Arts Center after a report of physical altercation.
CS000370,S005557,2025-07-12,Birchwood Hall,Alcohol Policy Violation,Low,Referred to Conduct Board,Reporting officer responded to Birchwood Hall regarding a alcohol policy violation involving the listed student.
CS000371,S003335,2025-07-13,Harborview Hall,Alcohol Policy Violation,Medium,Closed,Campus Safety was dispatched to Harborview Hall after a report of alcohol policy violation.
CS000372,S008513,2025-07-13,Science Building,Fire Alarm Activation,Medium,Closed,Student was involved in a fire alarm activation reported near Science Building.
CS000373,S006459,2025-07-15,Northgate Hall,Disorderly Conduct,Medium,Open,Campus Safety was dispatched to Northgate Hall after a report of disorderly conduct.
CS000374,S004199,2025-07-16,Science Building,Disorderly Conduct,Low,Closed,A disorderly conduct was observed and documented at Science Building.
CS000375,S006007,2025-07-18,Fine Arts Center,Medical Emergency,Low,Open,Reporting officer responded to Fine Arts Center regarding a medical emergency involving the listed student.
CS000376,S009871,2025-07-19,Northgate Hall,Physical Altercation,Medium,Closed,Student was involved in a physical altercation reported near Northgate Hall.
CS000377,S008025,2025-07-20,Recreation Center,Medical Emergency,Low,Closed,Reporting officer responded to Recreation Center regarding a medical emergency involving the listed student.
CS000378,S001943,2025-07-21,Maple Ridge Hall,Alcohol Policy Violation,Medium,Closed,Student was involved in a alcohol policy violation reported near Maple Ridge Hall.
CS000379,S009958,2025-07-21,Aspen Court,Alcohol Policy Violation,Critical,Under Investigation,Student was involved in a alcohol policy violation reported near Aspen Court.
CS000380,S000992,2025-07-21,West Parking Garage,Physical Altercation,Low,Closed,Incident occurred at West Parking Garage. Responding staff documented a physical altercation.
CS000381,S009040,2025-07-23,Lakeside Terrace,Alcohol Policy Violation,High,Closed,Campus Safety was dispatched to Lakeside Terrace after a report of alcohol policy violation.
CS000382,S007596,2025-07-23,Riverbend Hall,Theft,Low,Closed,Reporting officer responded to Riverbend Hall regarding a theft involving the listed student.
CS000383,S009543,2025-07-24,West Parking Garage,Alcohol Policy Violation,Low,Closed,Incident occurred at West Parking Garage. Responding staff documented a alcohol policy violation.
CS000384,S001343,2025-07-24,Sunrise Commons,Harassment,Medium,Open,Incident occurred at Sunrise Commons. Responding staff documented a harassment.
CS000385,S005514,2025-07-27,Highland Hall,Harassment,High,Closed,Reporting officer responded to Highland Hall regarding a harassment involving the listed student.
CS000386,S002848,2025-07-28,Cedar Crest Hall,Medical Emergency,Low,Closed,Reporting officer responded to Cedar Crest Hall regarding a medical emergency involving the listed student.
CS000387,S002051,2025-07-28,Fine Arts Center,Harassment,Medium,Closed,Student was involved in a harassment reported near Fine Arts Center.
CS000388,S002150,2025-07-29,Cedar Crest Hall,Theft,Low,Closed,Incident occurred at Cedar Crest Hall. Responding staff documented a theft.
CS000389,S003045,2025-07-30,Cedar Crest Hall,Theft,Medium,Closed,Incident occurred at Cedar Crest Hall. Responding staff documented a theft.
CS000390,S006694,2025-07-31,Engineering Annex,Harassment,High,Closed,A harassment was observed and documented at Engineering Annex.
CS000391,S003670,2025-08-01,Northgate Hall,Noise Complaint,Medium,Closed,Reporting officer responded to Northgate Hall regarding a noise complaint involving the listed student.
CS000392,S005677,2025-08-02,Sunrise Commons,Trespassing,Low,Closed,Incident occurred at Sunrise Commons. Responding staff documented a trespassing.
CS000393,S009000,2025-08-02,Student Union,Fire Alarm Activation,High,Under Investigation,Reporting officer responded to Student Union regarding a fire alarm activation involving the listed student.
CS000394,S004479,2025-08-02,Stadium,Drug Policy Violation,Medium,Closed,A drug policy violation was observed and documented at Stadium.
CS000395,S009153,2025-08-02,Stadium,Fire Alarm Activation,Medium,Closed,Reporting officer responded to Stadium regarding a fire alarm activation involving the listed student.
CS000396,S007880,2025-08-05,Off-Campus Housing,Suspicious Activity,Medium,Closed,Incident occurred at Off-Campus Housing. Responding staff documented a suspicious activity.
CS000397,S005964,2025-08-11,Sunrise Commons,Fire Alarm Activation,Low,Closed,Student was involved in a fire alarm activation reported near Sunrise Commons.
CS000398,S004625,2025-08-11,Aspen Court,Vandalism,Medium,Under Investigation,Incident occurred at Aspen Court. Responding staff documented a vandalism.
CS000399,S007440,2025-08-11,Cedar Crest Hall,Trespassing,Low,Under Investigation,A trespassing was observed and documented at Cedar Crest Hall.
CS000400,S007902,2025-08-11,Student Union,Vandalism,Medium,Referred to Conduct Board,A vandalism was observed and documented at Student Union.
CS000401,S009522,2025-08-11,Willow Creek Hall,Fire Alarm Activation,Medium,Closed,Incident occurred at Willow Creek Hall. Responding staff documented a fire alarm activation.
CS000402,S002388,2025-08-14,Science Building,Noise Complaint,Medium,Closed,Reporting officer responded to Science Building regarding a noise complaint involving the listed student.
CS000403,S000981,2025-08-15,Sunrise Commons,Drug Policy Violation,Low,Closed,Student was involved in a drug policy violation reported near Sunrise Commons.
CS000404,S008513,2025-08-15,Birchwood Hall,Vandalism,Critical,Referred to Conduct Board,Incident occurred at Birchwood Hall. Responding staff documented a vandalism.
CS000405,S003022,2025-08-15,Engineering Annex,Weapons Policy Violation,Low,Closed,Incident occurred at Engineering Annex. Responding staff documented a weapons policy violation.
CS000406,S007200,2025-08-16,Harborview Hall,Noise Complaint,Low,Under Investigation,Student was involved in a noise complaint reported near Harborview Hall.
CS000407,S008614,2025-08-16,Maple Ridge Hall,Harassment,Low,Closed,Reporting officer responded to Maple Ridge Hall regarding a harassment involving the listed student.
CS000408,S003697,2025-08-17,Bike Path,Drug Policy Violation,Low,Closed,A drug policy violation was observed and documented at Bike Path.
CS000409,S005215,2025-08-17,East Lot,Theft,Medium,Closed,Incident occurred at East Lot. Responding staff documented a theft.
CS000410,S002307,2025-08-18,Northgate Hall,Theft,Low,Closed,A theft was observed and documented at Northgate Hall.
CS000411,S002970,2025-08-18,Bike Path,Trespassing,Medium,Closed,Student was involved in a trespassing reported near Bike Path.
