housing_id,student_id,residence_hall,room_number,move_in_date,move_out_date,housing_status
H001055,S002020,Northgate Hall,570,2026-08-10,,Active
H001056,S006894,Lakeside Terrace,283,2025-07-17,,Active
H001057,S008593,Bellview Hall,355,2024-12-24,,Active
H001058,S009254,Maple Ridge Hall,277,2025-06-27,,Active
H001059,S006739,Meadowbrook Hall,431,2025-02-01,,Active
H001060,S001391,Northgate Hall,130,2023-09-01,,Active
H001061,S009529,Meadowbrook Hall,515,2025-06-11,,Active
H001062,S003630,Summit House,147,2025-11-08,,Active
H001063,S003497,Founders Hall,550,2025-11-16,,Active
H001064,S008083,Riverbend Hall,222,2026-06-21,2026-08-20,Moved Out
H001065,S007856,Aspen Court,446,2024-04-09,,Active
H001066,S005801,Harborview Hall,362,2026-01-30,,Active
H001067,S008903,Meadowbrook Hall,514,2025-06-05,,Active
H001068,S005726,Summit House,446,2027-01-04,,Active
H001069,S009867,Cedar Crest Hall,398,2024-08-18,,Active
H001070,S006057,Harborview Hall,227,2025-05-26,,Active
H001071,S001733,Maple Ridge Hall,542,2024-11-17,2025-07-01,Moved Out
H001072,S000323,Aspen Court,269,2025-03-23,,Active
H001073,S002338,Sunrise Commons,479,2023-12-15,2024-09-22,Moved Out
H001074,S007940,Willow Creek Hall,577,2024-10-22,,Active
H001075,S001240,Birchwood Hall,490,2024-04-20,,Active
H001076,S004209,Riverbend Hall,570,2024-11-03,,Active
H001077,S003927,Summit House,189,2024-04-16,2024-11-28,Moved Out
H001078,S006260,Maple Ridge Hall,562,2025-08-08,2025-11-23,Moved Out
H001079,S006067,Highland Hall,320,2025-08-09,,Active
H001080,S007779,Summit House,193,2025-01-01,2025-10-21,Moved Out
H001081,S002011,Highland Hall,279,2025-11-27,,Active
H001082,S005984,Meadowbrook Hall,564,2026-07-20,,Active
H001083,S004418,Aspen Court,358,2026-03-20,,Active
H001084,S003463,Cedar Crest Hall,247,2024-12-13,,Active
H001085,S008000,Highland Hall,412,2026-06-26,,Active
H001086,S003167,Summit House,193,2025-12-30,,Active
H001087,S008034,Bellview Hall,251,2025-02-26,,Active
H001088,S005165,Meadowbrook Hall,428,2025-08-10,,Active
H001089,S009164,Lakeside Terrace,176,2025-03-16,2025-11-27,Moved Out
H001090,S007795,Summit House,496,2023-08-19,,Active
H001091,S004386,Maple Ridge Hall,112,2026-07-07,,Active
H001092,S004717,Bellview Hall,285,2023-12-19,,Active
H001093,S005826,Sunrise Commons,361,2024-04-14,,Active
H001094,S003976,Aspen Court,308,2024-12-16,2025-08-16,Moved Out
H001095,S007508,Harborview Hall,398,2025-11-19,,Active
H001096,S007125,Lakeside Terrace,398,2025-12-30,,Active
H001097,S009199,Meadowbrook Hall,153,2024-09-11,2025-01-05,Moved Out
H001098,S007100,Summit House,451,2024-06-18,,Active
H001099,S007631,Sunrise Commons,332,2026-01-23,2026-06-30,Moved Out
H001100,S005608,Maple Ridge Hall,333,2023-12-11,,Active
H001101,S002922,Sunrise Commons,281,2025-10-20,2026-02-27,Moved Out
H001102,S008605,Meadowbrook Hall,462,2026-04-13,,Active
H001103,S006126,Birchwood Hall,162,2023-11-02,2024-08-26,Moved Out
H001104,S006769,Aspen Court,178,2025-04-04,2025-07-25,Moved Out
H001105,S004265,Lakeside Terrace,484,2026-03-09,2026-08-20,Moved Out
H001106,S008342,Aspen Court,462,2025-03-28,2026-01-19,Moved Out
H001107,S000687,Highland Hall,336,2023-11-16,,Active
H001108,S009840,Sunrise Commons,438,2023-11-24,,Active
H001109,S003574,Birchwood Hall,550,2026-06-25,,Active
H001110,S005287,Maple Ridge Hall,446,2023-11-19,,Active
H001111,S003792,Meadowbrook Hall,156,2024-02-12,2024-05-31,Moved Out
H001112,S000053,Maple Ridge Hall,540,2026-04-11,,Active
H001113,S000784,Riverbend Hall,450,2024-07-01,,Active
H001114,S003844,Birchwood Hall,327,2026-01-22,,Active
H001115,S004047,Sunrise Commons,277,2026-03-24,2026-08-20,Moved Out
H001116,S002880,Summit House,495,2025-01-16,2025-10-31,Moved Out
H001117,S002608,Aspen Court,556,2024-10-16,,Active
H001118,S009286,Maple Ridge Hall,478,2026-02-24,2026-05-09,Moved Out
H001119,S006598,Sunrise Commons,299,2024-12-09,,Active
H001120,S001572,Founders Hall,192,2024-11-20,,Active
H001121,S000862,Meadowbrook Hall,471,2026-06-25,2026-08-20,Moved Out
H001122,S006233,Bellview Hall,482,2024-05-17,2025-02-10,Moved Out
H001123,S001056,Highland Hall,277,2025-10-09,2026-05-29,Moved Out
H001124,S006949,Northgate Hall,371,2023-08-31,,Active
H001125,S007475,Harborview Hall,209,2026-06-06,,Active
H001126,S007773,Harborview Hall,463,2025-11-25,,Active
H001127,S002893,Meadowbrook Hall,113,2024-01-28,2024-11-07,Moved Out
H001128,S004046,Meadowbrook Hall,213,2025-03-07,2025-09-06,Moved Out
H001129,S008148,Bellview Hall,488,2024-06-08,2025-01-12,Moved Out
H001130,S003806,Founders Hall,377,2024-02-16,,Active
H001131,S007481,Cedar Crest Hall,480,2025-05-04,,Active
H001132,S006362,Willow Creek Hall,183,2025-10-18,,Active
H001133,S006132,Bellview Hall,521,2025-07-22,,Active
H001134,S007326,Highland Hall,477,2024-02-29,2024-11-20,Moved Out
H001135,S009456,Highland Hall,551,2023-09-16,,Active
H001136,S007416,Lakeside Terrace,446,2024-03-07,,Active
H001137,S005561,Summit House,313,2025-04-07,,Active
H001138,S008559,Willow Creek Hall,135,2024-03-31,,Active
H001139,S007370,Northgate Hall,166,2024-12-25,,Active
H001140,S009939,Meadowbrook Hall,456,2024-04-02,,Active
H001141,S002815,Willow Creek Hall,178,2025-09-09,,Active
H001142,S003212,Meadowbrook Hall,169,2025-02-22,2025-11-12,Moved Out
H001143,S000295,Meadowbrook Hall,497,2026-03-11,2026-08-20,Moved Out
H001144,S003758,Bellview Hall,476,2024-04-14,,Active
H001145,S000190,Meadowbrook Hall,134,2026-03-26,,Active
H001146,S008826,Founders Hall,357,2026-07-18,2026-08-20,Moved Out
H001147,S008173,Maple Ridge Hall,563,2026-06-05,,Active
H001148,S003032,Founders Hall,134,2024-06-08,,Active
H001149,S005915,Northgate Hall,236,2024-01-19,2024-10-07,Moved Out
H001150,S005931,Birchwood Hall,283,2024-07-24,2025-01-03,Moved Out
H001151,S009635,Harborview Hall,239,2026-05-15,,Active
H001152,S000930,Riverbend Hall,402,2024-04-04,,Active
H001153,S001397,Cedar Crest Hall,201,2026-04-23,,Pending Assignment
H001154,S004110,Founders Hall,421,2025-04-19,,Active
H001155,S004303,Willow Creek Hall,135,2024-11-02,,Active
H001156,S007859,Harborview Hall,294,2024-04-27,,Active
H001157,S002629,Northgate Hall,560,2026-04-10,,Active
H001158,S002642,Sunrise Commons,414,2025-08-23,,Active
H001159,S000960,Summit House,460,2024-07-02,,Pending Assignment
H001160,S003648,Meadowbrook Hall,380,2024-02-22,,Active
H001161,S001130,Maple Ridge Hall,267,2024-06-13,2024-09-04,Moved Out
H001162,S006062,Highland Hall,450,2024-02-07,2024-10-07,Moved Out
H001163,S006440,Bellview Hall,313,2025-06-25,,Active
H001164,S000948,Meadowbrook Hall,332,2025-03-19,2026-01-09,Moved Out
H001165,S003498,Meadowbrook Hall,362,2024-08-09,2025-05-14,Moved Out
H001166,S007285,Birchwood Hall,295,2025-09-25,2026-05-26,Moved Out
H001167,S003903,Founders Hall,444,2023-08-27,,Active
H001168,S009094,Founders Hall,598,2024-03-16,2024-11-23,Moved Out
H001169,S005868,Highland Hall,544,2025-09-21,2026-07-16,Moved Out
H001170,S007538,Summit House,136,2026-07-17,,Active
H001171,S001969,Cedar Crest Hall,127,2024-03-03,,Active
H001172,S008336,Aspen Court,375,2025-05-30,,Active
H001173,S003560,Maple Ridge Hall,142,2024-09-06,2025-01-04,Moved Out
H001174,S000420,Founders Hall,302,2025-11-27,2026-08-20,Moved Out
H001175,S004497,Highland Hall,329,2023-08-17,,Active
H001176,S004567,Bellview Hall,284,2026-08-15,,Pending Assignment
H001177,S009177,Northgate Hall,457,2026-05-05,,Active
H001178,S005865,Maple Ridge Hall,508,2024-11-28,2025-06-14,Moved Out
H001179,S001517,Riverbend Hall,512,2024-04-26,2024-10-04,Moved Out
H001180,S003699,Summit House,576,2025-07-10,2026-05-03,Moved Out
H001181,S007748,Meadowbrook Hall,541,2024-03-19,,Active
H001182,S007276,Bellview Hall,196,2025-09-28,2026-01-27,Moved Out
H001183,S008203,Founders Hall,525,2026-01-26,2026-08-20,Moved Out
H001184,S006515,Founders Hall,191,2024-07-21,,Active
H001185,S002095,Bellview Hall,570,2027-01-11,,Active
H001186,S006667,Founders Hall,128,2024-04-14,,Active
H001187,S001158,Bellview Hall,392,2026-07-16,2026-08-20,Moved Out
H001188,S002431,Riverbend Hall,285,2026-05-29,2026-08-03,Moved Out
H001189,S001113,Birchwood Hall,109,2026-07-28,,Active
H001190,S002240,Cedar Crest Hall,112,2024-02-01,2024-07-24,Moved Out
H001191,S001307,Lakeside Terrace,463,2025-08-17,,Active
H001192,S007775,Highland Hall,205,2024-04-01,,Active
H001193,S003828,Sunrise Commons,489,2024-06-27,,Active
H001194,S006440,Meadowbrook Hall,193,2024-12-21,,Pending Assignment
H001195,S002056,Meadowbrook Hall,483,2023-11-06,,Active
H001196,S005533,Cedar Crest Hall,154,2025-10-20,,Active
H001197,S005769,Founders Hall,358,2024-07-14,,Active
H001198,S006274,Harborview Hall,433,2024-09-26,2024-12-18,Moved Out
H001199,S009901,Founders Hall,444,2025-06-06,,Active
H001200,S006308,Birchwood Hall,365,2023-10-01,2024-01-09,Moved Out
H001201,S005525,Meadowbrook Hall,549,2025-01-10,2025-06-15,Moved Out
H001202,S001388,Riverbend Hall,271,2024-03-25,2024-06-05,Moved Out
H001203,S009223,Cedar Crest Hall,511,2026-01-02,,Active
H001204,S000053,Maple Ridge Hall,343,2026-09-24,,Active
H001205,S000858,Harborview Hall,180,2024-12-03,,Active
H001206,S000028,Birchwood Hall,577,2023-10-10,,Active
H001207,S005343,Lakeside Terrace,129,2026-08-08,,Active
H001208,S004135,Sunrise Commons,365,2026-06-18,2026-08-20,Moved Out
H001209,S002494,Cedar Crest Hall,422,2024-09-29,,Active
H001210,S007908,Aspen Court,404,2026-06-27,,Active
H001211,S005541,Meadowbrook Hall,168,2024-09-09,,Active
H001212,S001712,Riverbend Hall,571,2024-07-21,2025-01-26,Moved Out
H001213,S001367,Birchwood Hall,176,2025-01-26,2025-06-27,Moved Out
H001214,S009062,Summit House,328,2024-07-28,2025-01-14,Moved Out
H001215,S005584,Riverbend Hall,583,2024-10-10,,Active
H001216,S002506,Riverbend Hall,547,2025-07-09,2025-09-12,Moved Out
H001217,S008552,Aspen Court,539,2025-08-14,2025-11-06,Moved Out
H001218,S001029,Bellview Hall,447,2026-01-26,2026-08-20,Moved Out
H001219,S004731,Summit House,161,2024-09-30,,Active
H001220,S005907,Riverbend Hall,304,2023-10-29,2024-06-18,Moved Out
H001221,S004601,Summit House,177,2024-04-08,2024-09-28,Moved Out
H001222,S002042,Summit House,182,2024-05-29,,Active
H001223,S004903,Bellview Hall,381,2023-10-02,,Active
H001224,S001593,Bellview Hall,304,2024-01-24,2024-08-13,Moved Out
H001225,S001960,Founders Hall,512,2025-01-01,,Active
H001226,S001418,Cedar Crest Hall,581,2024-03-10,2024-12-20,Moved Out
H001227,S006328,Willow Creek Hall,471,2026-01-22,,Pending Assignment
H001228,S004263,Bellview Hall,573,2024-08-03,2024-12-07,Moved Out
H001229,S001408,Lakeside Terrace,138,2026-03-30,,Active
H001230,S005789,Willow Creek Hall,381,2025-10-22,2026-06-16,Moved Out
H001231,S008590,Birchwood Hall,392,2025-05-30,2025-08-08,Moved Out
H001232,S001161,Highland Hall,297,2023-08-12,,Active
H001233,S008527,Birchwood Hall,548,2023-12-28,2024-05-13,Moved Out
H001234,S008080,Sunrise Commons,232,2025-01-20,,Active
H001235,S000218,Willow Creek Hall,514,2025-05-28,2026-01-01,Moved Out
H001236,S004253,Meadowbrook Hall,229,2023-09-18,2024-05-04,Moved Out
H001237,S000025,Willow Creek Hall,495,2024-06-30,,Active
H001238,S009917,Willow Creek Hall,207,2025-10-03,2026-03-04,Moved Out
H001239,S003366,Willow Creek Hall,591,2025-06-19,2025-09-15,Moved Out
H001240,S002030,Northgate Hall,442,2024-04-18,,Active
H001241,S002029,Northgate Hall,466,2025-02-25,,Active
H001242,S000671,Harborview Hall,447,2026-01-25,,Active
H001243,S008124,Highland Hall,344,2024-07-30,,Pending Assignment
H001244,S003578,Riverbend Hall,162,2024-04-15,,Active
H001245,S002897,Sunrise Commons,350,2025-09-08,,Active
H001246,S006752,Founders Hall,514,2024-11-14,2025-06-20,Moved Out
H001247,S000924,Maple Ridge Hall,223,2024-12-10,2025-07-09,Moved Out
H001248,S007380,Aspen Court,405,2024-09-19,,Active
H001249,S008912,Northgate Hall,500,2024-01-16,,Active
H001250,S009695,Meadowbrook Hall,418,2025-08-01,,Active
H001251,S007456,Harborview Hall,206,2025-06-11,2026-03-09,Moved Out
H001252,S006188,Sunrise Commons,507,2025-05-22,,Active
H001253,S002928,Lakeside Terrace,409,2023-12-05,,Pending Assignment
H001254,S009212,Willow Creek Hall,117,2025-10-29,2026-01-11,Moved Out
H001255,S005429,Meadowbrook Hall,521,2024-03-15,2024-05-15,Moved Out
H001256,S009545,Meadowbrook Hall,340,2024-06-03,,Active
H001257,S006385,Willow Creek Hall,422,2026-07-12,,Active
H001258,S009343,Summit House,156,2023-08-21,,Active
H001259,S006060,Northgate Hall,299,2024-10-16,,Active
H001260,S002368,Aspen Court,475,2025-08-31,,Active
H001261,S006296,Summit House,355,2025-09-19,,Active
H001262,S001645,Highland Hall,366,2026-07-19,,Active
H001263,S006518,Aspen Court,378,2024-07-03,2024-12-30,Moved Out
H001264,S004284,Willow Creek Hall,233,2025-12-22,2026-02-25,Moved Out
H001265,S002420,Summit House,459,2026-02-15,,Active
H001266,S002827,Maple Ridge Hall,356,2024-09-05,,Active
H001267,S001027,Harborview Hall,246,2023-11-16,2024-06-22,Moved Out
H001268,S002213,Maple Ridge Hall,506,2024-07-28,,Active
H001269,S008447,Willow Creek Hall,129,2024-03-09,,Active
H001270,S007386,Northgate Hall,314,2024-10-07,,Active
H001271,S000754,Meadowbrook Hall,288,2026-01-14,2026-07-12,Moved Out
H001272,S004092,Birchwood Hall,197,2026-01-17,,Active
H001273,S002395,Founders Hall,325,2026-06-22,,Active
H001274,S000095,Willow Creek Hall,424,2025-08-11,2026-04-27,Moved Out
H001275,S003835,Northgate Hall,482,2023-08-28,,Active
H001276,S006924,Sunrise Commons,318,2024-02-23,2024-05-06,Moved Out
H001277,S008159,Riverbend Hall,279,2024-12-07,2025-03-09,Moved Out
H001278,S006558,Riverbend Hall,418,2026-01-02,2026-08-20,Moved Out
H001279,S004370,Maple Ridge Hall,322,2025-01-03,,Active
H001280,S003413,Willow Creek Hall,577,2023-08-03,2023-11-21,Moved Out
H001281,S001141,Summit House,297,2024-11-23,,Active
H001282,S009178,Lakeside Terrace,418,2026-05-18,2026-08-20,Moved Out
H001283,S009304,Willow Creek Hall,539,2025-07-08,,Active
H001284,S007777,Bellview Hall,163,2024-07-09,,Pending Assignment
H001285,S008466,Harborview Hall,327,2026-07-31,2026-08-20,Moved Out
H001286,S005499,Highland Hall,490,2024-10-03,,Active
H001287,S002417,Cedar Crest Hall,253,2025-07-07,2026-02-15,Moved Out
H001288,S003078,Lakeside Terrace,288,2025-10-10,,Active
H001289,S003977,Highland Hall,591,2025-01-01,,Active
H001290,S004870,Highland Hall,385,2026-08-10,,Active
H001291,S004215,Lakeside Terrace,152,2026-03-28,,Active
H001292,S000533,Sunrise Commons,585,2025-02-12,,Active
H001293,S007177,Riverbend Hall,234,2025-10-19,,Active
H001294,S006377,Birchwood Hall,285,2023-09-28,2024-05-08,Moved Out
H001295,S004348,Summit House,187,2025-06-24,2026-03-06,Moved Out
H001296,S006499,Sunrise Commons,307,2025-12-06,,Active
H001297,S007432,Sunrise Commons,372,2026-01-22,,Active
H001298,S006697,Founders Hall,387,2026-01-04,,Active
H001299,S000271,Founders Hall,587,2026-04-19,,Active
H001300,S000706,Northgate Hall,393,2023-10-31,,Active
H001301,S003900,Birchwood Hall,113,2025-04-15,2025-09-01,Moved Out
H001302,S008112,Meadowbrook Hall,485,2024-07-09,,Active
H001303,S007428,Sunrise Commons,572,2024-10-13,2025-01-05,Moved Out
H001304,S005742,Maple Ridge Hall,139,2023-09-03,,Active
H001305,S008166,Bellview Hall,494,2025-08-11,,Active
H001306,S005488,Willow Creek Hall,325,2023-11-01,,Active
H001307,S001909,Maple Ridge Hall,233,2023-12-06,,Active
H001308,S001345,Cedar Crest Hall,448,2024-01-31,,Active
H001309,S001059,Birchwood Hall,314,2024-07-11,,Active
H001310,S005654,Highland Hall,110,2026-08-25,,Active
H001311,S001766,Maple Ridge Hall,450,2025-06-24,,Active
H001312,S007853,Northgate Hall,449,2025-08-31,,Active
H001313,S006796,Cedar Crest Hall,543,2025-01-05,,Active
H001314,S002180,Lakeside Terrace,462,2023-11-15,,Active
H001315,S008554,Highland Hall,166,2026-04-11,,Active
H001316,S007452,Birchwood Hall,288,2027-02-02,2026-08-20,Moved Out
H001317,S000231,Maple Ridge Hall,570,2026-03-21,,Active
H001318,S008298,Meadowbrook Hall,423,2024-02-20,2024-08-23,Moved Out
H001319,S002443,Meadowbrook Hall,233,2027-01-29,,Active
H001320,S007283,Lakeside Terrace,517,2025-10-15,,Active
H001321,S004171,Northgate Hall,229,2025-05-16,,Active
H001322,S001214,Sunrise Commons,210,2025-07-28,2026-03-19,Moved Out
H001323,S009943,Lakeside Terrace,523,2025-07-06,,Active
H001324,S001937,Summit House,367,2024-07-02,,Active
H001325,S000413,Aspen Court,447,2024-07-18,2025-03-25,Moved Out
H001326,S002183,Maple Ridge Hall,412,2024-11-19,,Active
H001327,S008025,Maple Ridge Hall,534,2025-06-21,,Active
H001328,S001035,Willow Creek Hall,530,2023-08-27,2024-05-30,Moved Out
H001329,S005473,Lakeside Terrace,520,2025-06-14,2025-08-14,Moved Out
H001330,S002314,Northgate Hall,444,2024-12-02,,Active
H001331,S005565,Lakeside Terrace,283,2026-03-12,,Active
H001332,S007054,Summit House,534,2025-05-15,2025-08-16,Moved Out
H001333,S006743,Harborview Hall,390,2023-09-19,2024-01-28,Moved Out
H001334,S003539,Meadowbrook Hall,519,2025-02-15,,Pending Assignment
H001335,S008305,Maple Ridge Hall,183,2025-11-18,,Active
H001336,S002193,Sunrise Commons,381,2025-08-12,,Pending Assignment
H001337,S002032,Harborview Hall,461,2024-08-30,,Active
H001338,S009687,Founders Hall,214,2024-12-11,2025-09-13,Moved Out
H001339,S004742,Bellview Hall,125,2025-01-24,,Active
H001340,S005182,Willow Creek Hall,554,2024-05-25,,Active
H001341,S001199,Riverbend Hall,383,2025-03-25,,Active
H001342,S000128,Summit House,296,2026-08-03,2026-08-20,Moved Out
H001343,S002190,Meadowbrook Hall,179,2023-11-13,,Active
H001344,S000143,Harborview Hall,293,2023-11-30,,Active
H001345,S004784,Cedar Crest Hall,587,2024-06-28,2024-10-01,Moved Out
H001346,S005286,Willow Creek Hall,261,2026-03-16,2026-08-03,Moved Out
H001347,S007210,Bellview Hall,332,2025-08-02,,Active
H001348,S003281,Willow Creek Hall,590,2024-09-26,2025-02-28,Moved Out
H001349,S004291,Highland Hall,343,2026-05-04,,Active
H001350,S005648,Lakeside Terrace,284,2024-04-04,2024-11-24,Moved Out
H001351,S007706,Harborview Hall,443,2025-06-10,,Active
H001352,S000697,Willow Creek Hall,370,2026-06-07,2026-08-20,Moved Out
H001353,S004028,Lakeside Terrace,333,2025-05-03,2025-10-16,Moved Out
H001354,S009207,Founders Hall,470,2026-07-14,,Active
H001355,S006396,Harborview Hall,151,2026-05-24,2026-08-20,Moved Out
H001356,S001887,Sunrise Commons,261,2024-08-07,,Active
H001357,S004194,Maple Ridge Hall,280,2024-08-17,,Active
H001358,S002185,Cedar Crest Hall,559,2026-04-07,2026-08-20,Moved Out
H001359,S005310,Founders Hall,389,2026-01-04,2026-07-13,Moved Out
H001360,S007033,Highland Hall,268,2026-08-11,2026-08-20,Moved Out
H001361,S004072,Lakeside Terrace,134,2023-12-16,,Active
H001362,S006534,Sunrise Commons,574,2024-10-22,,Active
H001363,S005340,Lakeside Terrace,322,2025-02-28,,Active
H001364,S009745,Birchwood Hall,273,2025-10-22,2026-01-17,Moved Out
H001365,S006064,Lakeside Terrace,555,2026-06-20,2026-08-20,Moved Out
H001366,S005000,Meadowbrook Hall,262,2025-01-10,2025-08-23,Moved Out
H001367,S000309,Founders Hall,446,2025-05-15,,Active
H001368,S002567,Summit House,467,2026-08-09,,Active
H001369,S004363,Bellview Hall,476,2024-11-12,2025-08-04,Moved Out
H001370,S004605,Northgate Hall,163,2025-06-12,2025-08-21,Moved Out
H001371,S008891,Birchwood Hall,440,2023-09-19,2024-04-29,Moved Out
H001372,S006436,Bellview Hall,473,2023-12-01,,Active
H001373,S004479,Founders Hall,143,2025-03-13,,Active
H001374,S006213,Founders Hall,394,2023-09-14,2024-06-29,Moved Out
H001375,S002991,Riverbend Hall,165,2025-07-16,2025-12-31,Moved Out
H001376,S008541,Aspen Court,583,2023-09-04,,Active
H001377,S001140,Willow Creek Hall,214,2023-10-27,,Active
H001378,S009099,Birchwood Hall,451,2023-08-30,2023-12-11,Moved Out
H001379,S008525,Founders Hall,148,2024-01-29,2024-09-24,Moved Out
H001380,S009870,Willow Creek Hall,528,2023-10-19,,Active
H001381,S000785,Riverbend Hall,579,2024-04-29,,Active
H001382,S007664,Bellview Hall,375,2025-09-14,,Active
H001383,S002803,Bellview Hall,553,2026-05-06,2026-08-20,Moved Out
H001384,S000469,Summit House,534,2024-06-06,2024-12-18,Moved Out
H001385,S001190,Harborview Hall,489,2024-12-04,2025-07-28,Moved Out
H001386,S003904,Meadowbrook Hall,279,2025-08-14,,Active
H001387,S008454,Lakeside Terrace,506,2024-03-18,,Active
H001388,S009037,Meadowbrook Hall,150,2023-12-05,,Active
H001389,S000774,Birchwood Hall,140,2026-08-01,2026-08-20,Moved Out
H001390,S009865,Highland Hall,465,2025-07-16,,Active
H001391,S004604,Harborview Hall,392,2026-01-31,,Active
H001392,S001052,Bellview Hall,584,2024-05-18,,Active
H001393,S009246,Willow Creek Hall,232,2024-01-29,,Active
H001394,S008068,Riverbend Hall,332,2024-10-13,2024-12-27,Moved Out
H001395,S009683,Summit House,512,2025-05-20,,Active
H001396,S005581,Highland Hall,528,2025-09-23,,Active
H001397,S001770,Lakeside Terrace,163,2023-10-20,2024-06-17,Moved Out
H001398,S009611,Cedar Crest Hall,219,2024-01-26,,Active
H001399,S007429,Summit House,539,2023-10-25,,Active
H001400,S001085,Cedar Crest Hall,174,2023-08-16,2023-10-21,Moved Out
H001401,S002742,Lakeside Terrace,160,2025-03-06,2025-11-21,Moved Out
H001402,S006761,Meadowbrook Hall,585,2024-04-19,,Active
H001403,S009910,Willow Creek Hall,495,2025-08-05,,Active
H001404,S006972,Founders Hall,422,2024-05-23,2024-12-16,Moved Out
H001405,S000548,Riverbend Hall,515,2024-04-07,,Active
H001406,S009534,Aspen Court,404,2026-04-18,2026-08-20,Moved Out
H001407,S006342,Highland Hall,472,2026-07-30,,Active
H001408,S004579,Meadowbrook Hall,513,2024-11-26,,Active
H001409,S003579,Maple Ridge Hall,522,2024-08-28,,Active
H001410,S008374,Summit House,340,2024-11-05,,Active
H001411,S001174,Northgate Hall,569,2025-10-30,2026-03-12,Moved Out
H001412,S005284,Founders Hall,351,2025-06-11,,Active
H001413,S004969,Birchwood Hall,147,2025-11-27,2026-08-20,Moved Out
H001414,S000457,Willow Creek Hall,324,2026-08-15,2026-08-20,Moved Out
H001415,S004238,Sunrise Commons,287,2026-04-05,,Active
H001416,S008428,Sunrise Commons,313,2025-02-08,,Active
H001417,S006629,Willow Creek Hall,465,2024-07-30,,Pending Assignment
H001418,S006765,Lakeside Terrace,518,2024-09-08,,Active
H001419,S001235,Highland Hall,339,2024-12-24,,Active
H001420,S008375,Birchwood Hall,524,2026-08-02,,Active
H001421,S003951,Maple Ridge Hall,560,2024-03-20,,Active
H001422,S002050,Summit House,401,2025-09-18,,Pending Assignment
H001423,S009591,Aspen Court,151,2025-08-22,,Active
H001424,S001107,Birchwood Hall,179,2026-05-17,2026-08-14,Moved Out
H001425,S000555,Meadowbrook Hall,286,2026-08-01,,Active
H001426,S003643,Birchwood Hall,195,2025-01-04,,Active
H001427,S000430,Cedar Crest Hall,156,2024-06-27,,Active
H001428,S005603,Willow Creek Hall,480,2023-11-22,,Active
H001429,S006141,Birchwood Hall,387,2023-11-11,2024-04-06,Moved Out
H001430,S001433,Aspen Court,412,2025-07-10,,Active
H001431,S003085,Meadowbrook Hall,539,2026-05-03,,Active
H001432,S002057,Meadowbrook Hall,280,2023-12-23,2024-05-15,Moved Out
H001433,S003103,Birchwood Hall,261,2026-02-27,,Active
H001434,S003921,Sunrise Commons,291,2024-06-30,2025-04-08,Moved Out
H001435,S003235,Highland Hall,480,2025-03-12,,Active
H001436,S003867,Sunrise Commons,350,2025-07-27,,Active
H001437,S004707,Founders Hall,292,2024-01-17,2024-03-23,Moved Out
H001438,S006168,Maple Ridge Hall,552,2026-03-11,,Active
H001439,S002762,Sunrise Commons,344,2024-12-12,2025-08-17,Moved Out
H001440,S000208,Founders Hall,370,2023-12-11,,Active
H001441,S004181,Highland Hall,458,2026-08-03,2026-08-20,Moved Out
H001442,S003577,Lakeside Terrace,128,2025-05-05,,Active
H001443,S006253,Maple Ridge Hall,585,2026-05-14,2026-07-17,Moved Out
H001444,S003599,Riverbend Hall,334,2024-09-24,2025-07-07,Moved Out
H001445,S004628,Lakeside Terrace,421,2023-11-05,,Active
H001446,S003772,Aspen Court,314,2025-04-04,2025-12-09,Moved Out
H001447,S002905,Bellview Hall,484,2025-05-24,2025-11-24,Moved Out
H001448,S005939,Sunrise Commons,191,2023-11-08,,Active
H001449,S009648,Sunrise Commons,191,2025-12-18,,Active
H001450,S009017,Meadowbrook Hall,252,2025-03-03,2025-06-21,Moved Out
H001451,S001805,Aspen Court,503,2024-09-11,,Active
H001452,S001021,Cedar Crest Hall,364,2025-08-14,,Active
H001453,S006046,Founders Hall,389,2024-09-11,,Active
H001454,S007567,Lakeside Terrace,372,2025-12-15,,Active
H001455,S000339,Birchwood Hall,545,2024-01-11,2024-08-01,Moved Out
H001456,S000404,Bellview Hall,598,2023-09-24,,Pending Assignment
H001457,S004040,Sunrise Commons,508,2024-01-31,,Active
H001458,S000536,Riverbend Hall,452,2026-03-18,2026-08-20,Moved Out
H001459,S006783,Aspen Court,191,2025-10-03,,Active
H001460,S001175,Bellview Hall,235,2024-03-31,,Active
H001461,S007869,Sunrise Commons,285,2026-05-02,2026-08-20,Moved Out
H001462,S004778,Aspen Court,187,2026-08-20,2026-08-20,Moved Out
H001463,S004915,Summit House,280,2024-02-23,,Active
H001464,S001369,Lakeside Terrace,315,2024-08-20,2024-11-25,Moved Out
H001465,S002170,Summit House,357,2025-01-18,2025-05-21,Moved Out
H001466,S001306,Aspen Court,422,2025-04-18,2025-06-20,Moved Out
H001467,S000897,Meadowbrook Hall,354,2025-04-02,,Active
H001468,S005474,Northgate Hall,229,2025-08-25,,Active
H001469,S004869,Founders Hall,135,2024-01-25,,Active
H001470,S007243,Founders Hall,267,2025-10-16,,Active
H001471,S002996,Highland Hall,192,2026-08-04,,Active
H001472,S007337,Meadowbrook Hall,247,2026-01-20,,Active
H001473,S005778,Northgate Hall,436,2024-07-08,,Active
H001474,S004104,Riverbend Hall,594,2025-08-08,,Pending Assignment
H001475,S004095,Aspen Court,313,2025-07-06,,Active
